,accommodates,bedrooms,bathrooms,beds,minimum_nights,maximum_nights,number_of_reviews,price
602,-0.7675661263256629,-0.2968837804639113,-0.2935371048475197,-0.6452599276442184,-0.15679506992266273,1.0628583667809814,0.8251486482876472,80.0
4352,-0.7675661263256629,-0.2968837804639113,-0.2935371048475197,-0.6452599276442184,-0.1846011440793664,-0.992632064062389,5.081084208012411,45.0
4240,0.503868337974007,-0.2968837804639113,-0.2935371048475197,-1.4958298322661427,-0.15679506992266273,1.0628583667809814,-0.21712128470617223,90.0
7519,1.775302802273677,0.8926045241579442,-0.2935371048475197,1.0558798815996302,-0.21240721823607003,1.0628583667809814,-0.651400423453597,80.0
3759,-0.7675661263256629,-1.4863720850857667,-0.2935371048475197,-0.6452599276442184,-0.15679506992266273,1.0628583667809814,0.9409564186202938,45.0
5385,1.139585570123842,2.0820928287797997,-0.2935371048475197,1.9064497862215544,0.037847449174262776,-0.9834311221159101,-0.6369244521620162,130.0
5012,1.775302802273677,2.0820928287797997,1.9814832173040364,1.0558798815996302,-0.1846011440793664,1.0628583667809814,-0.39083294020514214,199.0
5326,1.139585570123842,0.8926045241579442,-0.2935371048475197,1.9064497862215544,0.5939689323083356,-0.4460961124415465,1.92532246644779,175.0
3849,-0.1318488941758279,-0.2968837804639113,-0.2935371048475197,1.0558798815996302,-0.04557077329584816,-0.9521479194978821,-0.651400423453597,110.0
5094,1.139585570123842,2.0820928287797997,-0.2935371048475197,1.9064497862215544,-0.1289889957659591,-0.9521479194978821,-0.6224484808704354,100.0
3675,-0.7675661263256629,-0.2968837804639113,-0.2935371048475197,-0.6452599276442184,-0.04557077329584816,-0.7865309644612632,-0.6369244521620162,59.0
7609,-0.7675661263256629,-0.2968837804639113,0.8439730562282584,-0.6452599276442184,-0.1289889957659591,-0.9521479194978821,-0.07236157179036398,75.0
2738,-0.7675661263256629,-0.2968837804639113,-0.2935371048475197,-0.6452599276442184,-0.15679506992266273,-0.33568480908380055,0.34744159566548,75.0
